URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,7,0,0.9999998571428775,0.012345678990571995,22.275862068965516,0.19576719542192736,16.741032644463303,19.551724137931036,111,567,1.7389770692434268,5,5.160493818059094
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,13,2,0.7333332844444478,0.00915192189801591,23.209876543209877,0.21842586929931307,18.020985389256477,20.234567901234566,358,1639,1.8187919451990286,4,5.52776082640161
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,3,1,0.49999987500003124,0.003122560497172084,24.533333333333335,0.30054644785281304,21.83519124744586,21.35,385,1281,2.0335675237833195,13,6.128805615824507
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,2,2,0.0,0.00315706392805283,26.581818181818182,0.2865035514707943,22.092869331559047,23.036363636363635,363,1267,1.9818468808351641,6,5.988950271516218
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,2,0,0.99999950000025,0.002229654401081768,23.6046511627907,0.21850613130601323,18.18210571735681,20.86046511627907,196,897,1.8104793736783953,7,5.692307685961753
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,3,2,0.199999960000008,0.002441406248807907,25.33695652173913,0.25341796862626076,20.271501353746086,22.26086956521739,519,2048,1.9174804678137303,7,5.984374997077942
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,2,5,-0.4285713673469475,0.006134969319776538,20.967741935483872,0.22611744064319242,17.431794399921245,18.403225806451612,258,1141,1.8045574042028416,1,5.425942151248078
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,3,0,0.9999996666667778,0.0030549898135896233,22.333333333333332,0.31873727055118406,21.682824155380697,19.254901960784313,313,982,2.087576372619576,4,6.26985742742377
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,2,2,0.0,0.0034873583230275863,22.016393442622952,0.31299040949172585,21.326173756718216,18.80327868852459,359,1147,2.0863121167512535,4,6.2789886606111684
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,5,3,0.24999996875000394,0.004449388206646613,23.705882352941178,0.24249165726224045,19.18201923166609,21.152941176470588,436,1798,1.7753058944519988,9,5.36874304484497
